07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
08/04/2026 - 03:09:52 (-3 TMZ) | 06:07:34:52 (Artemis Clock) | to inspire the world and set a course for a long-term presence at the moon. Integrity is also rooted in a shared core value of NASA, the agency's Astronaut Office and the Canadian Space Agency.
08/04/2026 - 03:15:06 (-3 TMZ) | 06:07:40:06 (Artemis Clock) | This is Artemis Mission Control in Houston, Texas. We are currently 6 days, 7 hours, and 39 minutes into the Artemis II mission. A few moments ago, you probably just saw the Orion spacecraft make a small attitude maneuver. These attitude maneuvers are managed by the GNC.
08/04/2026 - 03:15:27 (-3 TMZ) | 06:07:40:27 (Artemis Clock) | inertial navigation system receivers, along with barometric altimeters, and the position state and attitude health of the Orion spacecraft. And of course, they are responsible for commanding those attitude maneuvers.
08/04/2026 - 03:45:20 (-3 TMZ) | 06:08:10:20 (Artemis Clock) | This is Artemis Mission Control in Houston, Texas. We are currently six days, eight hours, and nine minutes into the Artemis 2 mission. Currently on your screen, you can see on the left-hand side a live view from the Orion spacecraft. These views coming to you from the solar array wing cameras currently on board the Orion.
08/04/2026 - 03:45:39 (-3 TMZ) | 06:08:10:39 (Artemis Clock) | Inside the cabin, the crew is currently at the tail end of their pre-sleep period. They are expected to enter their sleep period in about 20 minutes, and that sleep period typically lasts for about 8 and a half hours. Once that is complete, that will...
08/04/2026 - 03:46:05 (-3 TMZ) | 06:08:11:05 (Artemis Clock) | Crew mostly had an off-duty day. They did have a post-lunar flyby conference with the science team here on the ground towards the beginning of their day, during which they were able to discuss some of the observations they made during the lunar flyby during flight day 6 while that was still
08/04/2026 - 03:46:30 (-3 TMZ) | 06:08:11:30 (Artemis Clock) | with the crew and gather any clarification and ask additional questions. The crew also had the opportunity to speak with the International Space Station crew, Expedition 74, onboard the International Space Station currently during a ship-to-ship call.
08/04/2026 - 03:47:07 (-3 TMZ) | 06:08:12:07 (Artemis Clock) | Place at 7:03 p.m. Central, 8:03 p.m. Eastern to further fine-tune the trajectory of the Orion spacecraft as it makes its return journey home. There are three total return trajectory correction burns planned, so this burn that took place earlier today was the first of that trio of burns.
08/04/2026 - 03:47:23 (-3 TMZ) | 06:08:12:23 (Artemis Clock) | The final return trajectory correction burn is planned for flight day 10, which is the final flight day. It will take place about five hours before entry interface. Again, that splashdown expected to take place on Friday, April 10th, off the coast of California.
08/04/2026 - 03:47:54 (-3 TMZ) | 06:08:12:54 (Artemis Clock) | view from the Artemis real-time orbit website, or ARO. This provides updates and a visualization of the Orion spacecraft, updating on the velocity and the distance from Earth and the Moon throughout its journey around the Moon and back. Currently, the Orion spacecraft is about
08/04/2026 - 03:48:19 (-3 TMZ) | 06:08:13:19 (Artemis Clock) | Distance from the moon continuing to increase following the lunar close approach, which took place on flight day 6, and that distance between the Orion spacecraft and the Earth continuing to decrease now that the spacecraft is on its return journey home. Earlier today, also on flight day 7,
08/04/2026 - 03:48:45 (-3 TMZ) | 06:08:13:45 (Artemis Clock) | from the Earth versus that of the moon. It had previously entered the lunar sphere of influence ahead of that lunar flyby day on flight day five.
08/04/2026 - 03:49:10 (-3 TMZ) | 06:08:14:10 (Artemis Clock) | A busy day ahead of them. They will be completing some additional developmental flight test objectives. One of those is related to the Orion crew survival system suits, or OCS suits. Those are those orange suits that they wear during the dynamic phases of the mission, such as launch and also during reentry.
08/04/2026 - 03:49:41 (-3 TMZ) | 06:08:14:41 (Artemis Clock) | During the first part of the crew day tomorrow, the crew will assist each other with some body circumference measurements and also evaluate donning or putting on, as well as wearing and taking off or doffing the orthostatic intolerance garment and completing some questionnaires detailing.
08/04/2026 - 03:50:01 (-3 TMZ) | 06:08:15:01 (Artemis Clock) | The crew is also going to be completing a developmental flight test objective related to manual piloting.
08/04/2026 - 03:50:42 (-3 TMZ) | 06:08:15:42 (Artemis Clock) | So the six degrees of freedom refers to the six ways that a spacecraft moves. There are three translational degrees of freedom, which are forward and backward, up and down, and left and right, and then three rotational degrees of freedom, which are roll, pitch, and yaw. So during that
08/04/2026 - 03:50:59 (-3 TMZ) | 06:08:15:59 (Artemis Clock) | Initial developmental flight test objective related to manual piloting, the crew was able to compare the standard six degrees of freedom to the degraded qualities of three degrees of freedom, which would mean the crew could only control the rotational axes. And then coming up tomorrow on flight day eight, they will complete a second portion of that manual.
08/04/2026 - 03:51:25 (-3 TMZ) | 06:08:16:25 (Artemis Clock) | a target in the window field of view and manually pilot to what is known as the biased tail-to-sun attitude. And it is designed to test the handling qualities and the guidance, navigation, and control systems by manually piloting the spacecraft to a biased tail-to-sun attitude.
08/04/2026 - 03:51:46 (-3 TMZ) | 06:08:16:46 (Artemis Clock) | The Orion spacecraft uses a tail-as-sun attitude as its primary passive or passive safe flight orientation during transit to maintain thermal balance and maximize power generation.
08/04/2026 - 03:52:10 (-3 TMZ) | 06:08:17:10 (Artemis Clock) | You have a view of one of those solar arrays on the left-hand side of your screen, illuminated, and the radiators facing deep space and provides a twenty-degree deadband for flexibility, which is crucial for long coast periods between the Earth and the moon.
08/04/2026 - 04:01:40 (-3 TMZ) | 06:08:26:40 (Artemis Clock) | We are currently six days, eight hours, and 25 minutes into the Artemis 2 mission. The Orion spacecraft and its crew are about 214,000 miles from the Earth and about 66,000 miles from the moon as they continue their return journey back to Earth.
08/04/2026 - 04:02:17 (-3 TMZ) | 06:08:27:17 (Artemis Clock) | Flight day, the crew spent off duty, so they had time to do as they pleased following a busy lunar flight by day the day before. However, at the beginning of the day, the crew did have the opportunity to complete a ship-to-ship call with the Expedition 74 crew on board the International Space Station, and they also had a...
08/04/2026 - 04:02:33 (-3 TMZ) | 06:08:27:33 (Artemis Clock) | post-lunar flyby conference with the science team here on the ground to go over some of the observations they made during their lunar flyby on flight day six. They also officially exited the lunar sphere of influence, which means that the Earth's gravitational pull is once again stronger than that of the moon.
08/04/2026 - 04:02:54 (-3 TMZ) | 06:08:27:54 (Artemis Clock) | Please at 7:03 p.m. Central time, 8:03 p.m. Eastern time. Let's go ahead and take a look at some of the highlights of flight day seven.
08/04/2026 - 04:03:24 (-3 TMZ) | 06:08:28:24 (Artemis Clock) | Five days, 14 hours, two minutes, and counting, the Artemis II crew is currently in their sleep period. Now, we would like to share with the world that while the crew is asleep, we did receive some of those stunning downlinked images from the lunar flyby, which took place earlier in the crew's day. So let's take a look. Here we have it.
08/04/2026 - 04:03:50 (-3 TMZ) | 06:08:28:50 (Artemis Clock) | hiding behind a silent, cratered horizon. And this view shows the moon fully eclipsing the sun. From their vantage point the moon appears large enough to completely block the sun, creating nearly 54 minutes of totality — far longer than
08/04/2026 - 04:04:16 (-3 TMZ) | 06:08:29:16 (Artemis Clock) | revealing the outer atmosphere normally hidden by the sun's brightness. Along the edge you can also see a faint glow on the moon's surface. That's sunlight reflected from the Earth, softly illuminating the near side. It's a striking view, and a rare opportunity to observe
08/04/2026 - 04:04:21 (-3 TMZ) | 06:08:29:21 (Artemis Clock) | Observe and document the corona as we return to deep space.
08/04/2026 - 04:04:38 (-3 TMZ) | 06:08:29:38 (Artemis Clock) | This is Mission Control Houston coming to you live from the Artemis flight control room here at the Johnson Space Center. At a mission elapsed time of 5 days, 17 hours, the crew was woken up aboard their Integrity spacecraft, marking the start of flight day 7 activities.
08/04/2026 - 04:05:04 (-3 TMZ) | 06:08:30:04 (Artemis Clock) | I'm Leah Cheshire Mastachio. The Orbit 1 team has just taken over from the Orbit 2 team and is led by Jeff Rattigan, NASA flight director. The CAPCOM, or capsule communicator, for today is Stan Love. He's a NASA astronaut and is the only voice you'll hear communicating with the crew. Of course, there is an exception for that today.
08/04/2026 - 04:05:24 (-3 TMZ) | 06:08:30:24 (Artemis Clock) | in which the science team will be conducting their post-lunar flyby conference. If you tuned in yesterday, you got a treat, and we got to see amazing views of the moon as well as hear the crew's description of them. Now while the crew was taking those photos, they were also recording private voice notes that they sent down to the science team.
08/04/2026 - 04:05:56 (-3 TMZ) | 06:08:30:56 (Artemis Clock) | The spacecraft and the four Artemis II astronauts, Reid Wiseman, Victor Glover, Christina Koch, and Jeremy Hansen, will be calling the International Space Station. We have seven crew members living and working aboard the International Space Station, and we've just surpassed 25 years of continuous human presence living and working in space.
08/04/2026 - 04:06:02 (-3 TMZ) | 06:08:31:02 (Artemis Clock) | This will be the first time that these two spacecraft have ever talked to each other.
08/04/2026 - 04:06:33 (-3 TMZ) | 06:08:31:33 (Artemis Clock) | would have been planted on the moon during that mission, should it have occurred. It was on display in the NASA headquarters building in Washington, D.C., making its way around the moon over 50 years since its originally intended flight. The other American flag aboard Orion is from a little more recent history. It was flown on STS-1.
08/04/2026 - 04:06:58 (-3 TMZ) | 06:08:31:58 (Artemis Clock) | NASA SpaceX DM-2, or Demonstration Mission 2, which was the return of launching American astronauts from American soil on American rockets. Good morning, Houston. We are 202,306 nautical miles away.
08/04/2026 - 04:07:03 (-3 TMZ) | 06:08:32:03 (Artemis Clock) | us back and we are happy about that. We're ready for morning DPC.
08/04/2026 - 04:07:21 (-3 TMZ) | 06:08:32:21 (Artemis Clock) | items for you, the first of which is updated nominal burn plan and nominal RTC last are on board.
08/04/2026 - 04:07:37 (-3 TMZ) | 06:08:32:37 (Artemis Clock) | Actually, Stan, we have one more small and quick thing. We just wanted to take this moment to recognize the two newest members of the Association of Space Explorers, NASA astronaut Christina Koch and Canadian Space Agency astronaut Jeremy Hansen. Reed and I are both members and we're proud to...
08/04/2026 - 04:07:48 (-3 TMZ) | 06:08:32:48 (Artemis Clock) | to welcome the two of them to this international body of human space explorers, and also congratulations to Jack Hathaway, who recently joined aboard the International Space Station. Thank you. Thank you for those words, and welcome to the club.
08/04/2026 - 04:08:08 (-3 TMZ) | 06:08:33:08 (Artemis Clock) | Integrity, this is Houston. Are you ready for the event?
08/04/2026 - 04:08:11 (-3 TMZ) | 06:08:33:11 (Artemis Clock) | Integrity is ready for the event.
08/04/2026 - 04:08:15 (-3 TMZ) | 06:08:33:15 (Artemis Clock) | Station, this is Mission Control Houston. Please call Integrity for a voice check.
08/04/2026 - 04:08:34 (-3 TMZ) | 06:08:33:34 (Artemis Clock) | Good, how do you hear?
08/04/2026 - 04:08:36 (-3 TMZ) | 06:08:33:36 (Artemis Clock) | Hey, International Space Station and Jessica, we have you loud and clear. How about us?
08/04/2026 - 04:08:55 (-3 TMZ) | 06:08:33:55 (Artemis Clock) | We feel like you're here with us, and this is really just making our entire week right now.
08/04/2026 - 04:09:20 (-3 TMZ) | 06:08:34:20 (Artemis Clock) | Planet Earth, which is just hard to believe, the scales are impossible to believe. And for the run of the show this morning, I figured I'll say a quick hi, which I have done. I'll hand the microphone to fellow Chump Jeremy. He can say a quick hi, and then we'll let you three Apossus get on with it.
08/04/2026 - 04:09:47 (-3 TMZ) | 06:08:34:47 (Artemis Clock) | But it's such a pleasure to be spending a little bit of time with our colleagues in space, and we talk so much up here, or we try to anyway, to emphasize how important the work is that we're all doing in this program to do the types of things that get us ready to get back on the surface of the moon.
08/04/2026 - 04:09:54 (-3 TMZ) | 06:08:34:54 (Artemis Clock) | Administrator was saying yesterday, on to Mars. And so we just appreciate you, and it's fun to be up in space with you at the same time.
08/04/2026 - 04:10:20 (-3 TMZ) | 06:08:35:20 (Artemis Clock) | at the Earth from above. Every astronaut that comes to space remarks on that, and we really wanted to hear what that felt like, how different that felt now from your new perspective around the moon.
08/04/2026 - 04:10:51 (-3 TMZ) | 06:08:35:51 (Artemis Clock) | The views are absolutely incredible, and I miss them every day, almost. The thing that changed for me, looking back at Earth, was that I found myself noticing not only the beauty of the Earth, but how much blackness there was around it, and how small...
08/04/2026 - 04:11:25 (-3 TMZ) | 06:08:36:25 (Artemis Clock) | All that alpha is around it.
08/04/2026 - 04:11:46 (-3 TMZ) | 06:08:36:46 (Artemis Clock) | And Jessica, I always hoped we would be in space again together, but I never thought it would be like this. It's amazing. Congratulations to you on being commander, and I hope you have an amazing rest of your trip at space.
08/04/2026 - 04:12:11 (-3 TMZ) | 06:08:37:11 (Artemis Clock) | I'm so happy that we are back in space together, even if we are, you know, a few miles apart. We like to joke about that up here too, because everyone's talking about the records and the distance, and we ran to the far end of the space station when you guys were on the other side so that we could claim we were the furthest away from you.
08/04/2026 - 04:12:17 (-3 TMZ) | 06:08:37:17 (Artemis Clock) | In that moment.
08/04/2026 - 04:12:48 (-3 TMZ) | 06:08:37:48 (Artemis Clock) | At the furthest point in this spacecraft, and my crewmates are clawing me down, and I know that's a joke. We were busy doing science, but we had that same conversation. It was a lot of fun. I don't know how much longer we have here, but from the four members of the spacecraft Integrity, we really want to just say our deepest...
08/04/2026 - 04:13:13 (-3 TMZ) | 06:08:38:13 (Artemis Clock) | That is a very special thing. So thank you all for tuning in.
08/04/2026 - 04:13:16 (-3 TMZ) | 06:08:38:16 (Artemis Clock) | We are loving all four of you from here from the space station in low Earth orbit. We'll keep the fires burning here.
08/04/2026 - 04:13:25 (-3 TMZ) | 06:08:38:25 (Artemis Clock) | and we'll keep carrying the fire. Thanks guys. Over and out.
08/04/2026 - 04:13:50 (-3 TMZ) | 06:08:38:50 (Artemis Clock) | Next due is a conference with the science team. They will be reviewing what they saw yesterday during their lunar flyby, sharing any findings or interesting information with the science team while it's all still fresh for the crew members. Of course, they have quite a lot of audio recordings that have been downlinked to the science team, and that team...
08/04/2026 - 04:14:09 (-3 TMZ) | 06:08:39:09 (Artemis Clock) | thoughts about our moon.
08/04/2026 - 04:14:35 (-3 TMZ) | 06:08:39:35 (Artemis Clock) | the science team has confirmed the locations of the proposed integrity and Caroll craters, and it was such a powerful moment here for everybody listening and following along. And then, also, just before I dive into the list of questions, we heard both Christina and Victor yesterday commenting
08/04/2026 - 04:15:01 (-3 TMZ) | 06:08:40:01 (Artemis Clock) | to hypotheses really added scientific value, and so we'd love to build on that here. So we'll ask specific questions for you guys, but please treat it like a discussion, as we heard you yesterday, that that enhanced value. When you're ready, I'll dive into our questions.
08/04/2026 - 04:15:26 (-3 TMZ) | 06:08:40:26 (Artemis Clock) | The Earth was so bright it made the moon look dark. So you all had the Earth in view during the majority of your flyby. Did you notice any time when the brightness of Earth began to change your view of the moon's brightness? And can you describe how your perception of the moon's color changed as the Earth got brighter?
08/04/2026 - 04:15:32 (-3 TMZ) | 06:08:40:32 (Artemis Clock) | The Earth came closer to the Moon.
08/04/2026 - 04:15:48 (-3 TMZ) | 06:08:40:48 (Artemis Clock) | Yeah, absolutely. And essentially, as soon as the Earth became in the view of the EVB where I didn't have to turn my head, when it was in what I'll call my field of view, not my field of regard, when I could just see it looking straight, the moon was already at a point where I was losing subtle albedo differences. I think it's because...
08/04/2026 - 04:16:19 (-3 TMZ) | 06:08:41:19 (Artemis Clock) | I think the change in lighting was due to the angle of incidence, but then when the Earth became apparent, its brightness, it was so bright, it was so bright it looked out of place. The gray of the moon and the black of space kind of seemed to go together, but then the...
08/04/2026 - 04:16:45 (-3 TMZ) | 06:08:41:45 (Artemis Clock) | The Earth looked out of place and it just continued to dim the albedo and color that was earlier apparent in the moon. I'm passing to Christina.
08/04/2026 - 04:17:11 (-3 TMZ) | 06:08:42:11 (Artemis Clock) | Oh, we're not on video. This whole time I've been put on the show. The, uh, we, I was nodding, now you know, because I agreed with everything he said. I'll add a couple thoughts that popped into my mind, which was, I think I made the comment that...
08/04/2026 - 04:17:36 (-3 TMZ) | 06:08:42:36 (Artemis Clock) | The moon actually was reflecting light, and it was lit up. As soon as the Earth got close enough to be in my field of view to take them both in at the same time, exactly what Victor said, it dulled, it turned into a sponge. It's almost like it went matte. Next question is for all of you.
08/04/2026 - 04:18:02 (-3 TMZ) | 06:08:43:02 (Artemis Clock) | Different viewing angles resulted in how you observed Ohm. Jeremy and Reed saw it first. Were you able to see the ejector rays, the central peak? And then Christina and Victor, you were next, and you observed Ohm later in the past. Could you resolve similar or different features than what you're about to see?
08/04/2026 - 04:18:07 (-3 TMZ) | 06:08:43:07 (Artemis Clock) | Here from Jeremy and Reed.
08/04/2026 - 04:18:38 (-3 TMZ) | 06:08:43:38 (Artemis Clock) | It's fairly apparent. What is more apparent than the ejecta is the, like, the brownish-gray darker area that makes the, like, 12 o'clock to 3 o'clock cut of the pie shape, like, that was always very apparent, and the ejecta rays just made that contrast much more apparent. But overall, Ohm did not, it did not change.
08/04/2026 - 04:18:44 (-3 TMZ) | 06:08:43:44 (Artemis Clock) | changed drastically as we went around the moon, unlike Oriental, which drastically changed as we went around the moon.
08/04/2026 - 04:19:10 (-3 TMZ) | 06:08:44:10 (Artemis Clock) | It comes out of roughly the 3 o'clock position, was on the Mare, and I'm not sure if I was picking that up initially in our first observations, but definitely in the latter. Did you notice that at all?
08/04/2026 - 04:19:15 (-3 TMZ) | 06:08:44:15 (Artemis Clock) | Delta far on the nearside MARA.
08/04/2026 - 04:19:40 (-3 TMZ) | 06:08:44:40 (Artemis Clock) | Now this view inside the CERV, the science evaluation room, you can see this team of scientists taking a look at one of the photos that the crew shared. And you can see the photos from the crew at images.nasa.gov or by visiting NASA social media. That's @NASA or @NASARovers.
08/04/2026 - 04:19:45 (-3 TMZ) | 06:08:44:45 (Artemis Clock) | Artemis.
08/04/2026 - 04:19:57 (-3 TMZ) | 06:08:44:57 (Artemis Clock) | You're now looking at a live view outside the Orion spacecraft, solar array wing positioned to look at the spacecraft itself.
08/04/2026 - 04:20:28 (-3 TMZ) | 06:08:45:28 (Artemis Clock) | Canadian Space Agency astronaut Jeremy Hansen. We are targeting the RTC1 burn today, that's Return Trajectory Correction 1. That is targeted for about 7:03 p.m. Central time. This is a small burn using the reaction control system thrusters on the service module of the Orion spacecraft.
08/04/2026 - 04:20:31 (-3 TMZ) | 06:08:45:31 (Artemis Clock) | This helps us fine-tune our path back home.
08/04/2026 - 04:20:49 (-3 TMZ) | 06:08:45:49 (Artemis Clock) | Preliminary burn targeting conference. They have another one of these in a couple of hours when they will have the final burn plans uplinked and the final targeting complete.
08/04/2026 - 04:21:13 (-3 TMZ) | 06:08:46:13 (Artemis Clock) | move a little bit when the crew is exercising, and so the teams here park the solar arrays into a safe harbor position. That means any motion that they experience due to the exercise doesn't damage the solar arrays.
08/04/2026 - 04:21:39 (-3 TMZ) | 06:08:46:39 (Artemis Clock) | data at any time by visiting nasa.gov/trackartemis.
08/04/2026 - 04:21:41 (-3 TMZ) | 06:08:46:41 (Artemis Clock) | Down and to the left, line seventeen, the DAP load is three for burn maneuver.
08/04/2026 - 04:22:10 (-3 TMZ) | 06:08:47:10 (Artemis Clock) | The TGO is unchanged at one-five seconds.
08/04/2026 - 04:22:30 (-3 TMZ) | 06:08:47:30 (Artemis Clock) | two six roll two eight seven.
08/04/2026 - 04:22:35 (-3 TMZ) | 06:08:47:35 (Artemis Clock) | That was Capcom Stan Love here in Mission Control Houston, a fellow NASA astronaut speaking with NASA's Christina Koch aboard the Orion spacecraft.
08/04/2026 - 04:22:52 (-3 TMZ) | 06:08:47:52 (Artemis Clock) | The crew aboard the spacecraft is preparing for their return trajectory correction burn. It's the first of these return trajectory correction burns, reported to be a 1.4 foot-per-second delta-V burn.
08/04/2026 - 04:22:58 (-3 TMZ) | 06:08:47:58 (Artemis Clock) | Such a fantastic view coming from a solar array camera on Orion looking back at all of us here on Earth.
08/04/2026 - 04:23:17 (-3 TMZ) | 06:08:48:17 (Artemis Clock) | Currently the spacecraft is 227,756 miles away from our home planet.
08/04/2026 - 04:23:23 (-3 TMZ) | 06:08:48:23 (Artemis Clock) | Orion is now 49,168 miles away from the moon. Earlier today, the spacecraft exited the lunar sphere of influence. That's when the pull of gravity is strongest on the spacecraft.
08/04/2026 - 04:23:43 (-3 TMZ) | 06:08:48:43 (Artemis Clock) | Now just 43 minutes away. Again, this is a small maneuver for the spacecraft, firing of those reaction control system thrusters.
08/04/2026 - 04:23:46 (-3 TMZ) | 06:08:48:46 (Artemis Clock) | Integrity, MCC is go for the burn.
08/04/2026 - 04:23:50 (-3 TMZ) | 06:08:48:50 (Artemis Clock) | Okay, we copy, you're still go, and we'll go up here.
08/04/2026 - 04:24:09 (-3 TMZ) | 06:08:49:09 (Artemis Clock) | In twenty-seven minutes, that will be at 7:03 p.m. Central Time.
08/04/2026 - 04:24:12 (-3 TMZ) | 06:08:49:12 (Artemis Clock) | Integrity tank pressures are good for the burn.
08/04/2026 - 04:24:15 (-3 TMZ) | 06:08:49:15 (Artemis Clock) | Standing by for the RTC-1 burn.
08/04/2026 - 04:24:26 (-3 TMZ) | 06:08:49:26 (Artemis Clock) | We have ignition and four good engines and good control.
08/04/2026 - 04:24:52 (-3 TMZ) | 06:08:49:52 (Artemis Clock) | Integrity preliminary look is a good burn. Still assessing. Forty seconds to LOS.
08/04/2026 - 04:24:58 (-3 TMZ) | 06:08:49:58 (Artemis Clock) | Okay, Stan, we saw a good burn on board as well.
08/04/2026 - 04:25:03 (-3 TMZ) | 06:08:50:03 (Artemis Clock) | Roger.
08/04/2026 - 04:25:19 (-3 TMZ) | 06:08:50:19 (Artemis Clock) | Confirmation from the crew that they also saw a good return trajectory correction 1 burn coming at 7:03 p.m. Central time. This view coming from the spacecraft looking down at the European Service Module and the solar arrays.
08/04/2026 - 04:25:39 (-3 TMZ) | 06:08:50:39 (Artemis Clock) | Operation 1 burn being a successful burn, and it ended up being 1.6 feet per second delta-v.
08/04/2026 - 04:25:59 (-3 TMZ) | 06:08:50:59 (Artemis Clock) | Again, this is a quiet day for the crew, as they had a very busy day yesterday and have some busy days coming up as well.
08/04/2026 - 04:26:04 (-3 TMZ) | 06:08:51:04 (Artemis Clock) | And Reid, we just went around the room. We are all good. You can begin exercise now if you'd like.
08/04/2026 - 04:26:27 (-3 TMZ) | 06:08:51:27 (Artemis Clock) | Okay, we will. It is pretty interesting up here. I'm sure you see in the data, but we can definitely feel the vehicle moving around when folks are exercising. It's pretty cool to just sit there and float and feel the vehicle kind of, it's almost, it's not like a ship rocking in the ocean, but you definitely feel it wiggling around.
08/04/2026 - 04:26:49 (-3 TMZ) | 06:08:51:49 (Artemis Clock) | We'll report on it as well.
08/04/2026 - 04:27:21 (-3 TMZ) | 06:08:52:21 (Artemis Clock) | Reid, we think that will be doable. We will double-check and we'll let you know when you're done exercising.
08/04/2026 - 04:28:50 (-3 TMZ) | 06:08:53:50 (Artemis Clock) | The Orion spacecraft and its crew from both the Earth and from the moon. The Orion crew is currently in a sleep period. They will remain in that sleep period for about another eight hours. Once they wake up, they will officially begin flight day eight.
08/04/2026 - 04:29:15 (-3 TMZ) | 06:08:54:15 (Artemis Clock) | Elemental flight test objectives. One of those objectives is related to the OCC suits, which are the Orion crew survival system suits. Specifically, it's related to the orthostatic intolerance garment for those OCC suits. So during that objective, the crew will be assisting each other with some body circumferences.
08/04/2026 - 04:29:40 (-3 TMZ) | 06:08:54:40 (Artemis Clock) | garment and completing a questionnaire about the ease of that process as well as the overall fit of the garment. And then later in the day, the crew is expected to also complete the second part of a manual piloting demonstration. The first part of that demonstration was completed earlier in the day.
08/04/2026 - 04:30:06 (-3 TMZ) | 06:08:55:06 (Artemis Clock) | The crew will center a target in the window field of view and manually pilot to a biased tail-to-sun attitude, and this manual piloting developmental flight test objective is designed to test the handling qualities and the guidance, navigation and control system on the Orion spacecraft.
08/04/2026 - 04:30:37 (-3 TMZ) | 06:08:55:37 (Artemis Clock) | And the CAPCOM, or Capsule Communicator, is Tess Caswell. In about 30 minutes, the Orbit 3 team of flight controllers will begin making their way on console to complete a shift handover with the Orbit 2 team. Throughout the duration of the Artemis II mission, there are three shifts, or...
08/04/2026 - 04:31:02 (-3 TMZ) | 06:08:56:02 (Artemis Clock) | Brandon Lloyd, and the CAPCOM or capsule communicator will be Amy Dill.
08/04/2026 - 04:40:38 (-3 TMZ) | 06:09:05:38 (Artemis Clock) | On your screen, you can see a live view of the Orion spacecraft. It's completing a small attitude maneuver. Again, these attitude maneuvers are managed by the GNC position in Mission Control, which is the guidance, navigation, and control officer. And then for a moment there, you could also see a crescent Earth off in the distance, and those views...
08/04/2026 - 04:40:42 (-3 TMZ) | 06:09:05:42 (Artemis Clock) | We're coming to you from the solar array wing cameras.
08/04/2026 - 04:51:55 (-3 TMZ) | 06:09:16:55 (Artemis Clock) | This is Artemis Mission Control in Houston, Texas. We are currently at a mission elapsed time of 6 days, 9 hours, and 16 minutes into the Artemis 2 mission. You are seeing a brief view there on your screen of the Orion spacecraft with those solar array wing cameras. Those cameras were actually...
08/04/2026 - 04:52:21 (-3 TMZ) | 06:09:17:21 (Artemis Clock) | following the lunar flyby and that lunar close approach which took place on flight day 6. We're now rounding out flight day 7 and again we are expecting a splashdown in about 2 days and 16 hours on Friday, April 10th off the coast of California.
08/04/2026 - 04:52:40 (-3 TMZ) | 06:09:17:40 (Artemis Clock) | Again, a shift handover with the Orbit 2 team.
08/04/2026 - 04:59:59 (-3 TMZ) | 06:09:24:59 (Artemis Clock) | 9 hours and 24 minutes into the Artemis 2 mission, the Artemis 2 crew currently onboard the Orion spacecraft are in their sleep period as they continue their return portion of their journey back to Earth. They are about 213,000 miles away from Earth and about 68,000 miles away from the
08/04/2026 - 05:00:26 (-3 TMZ) | 06:09:25:26 (Artemis Clock) | with the Expedition 74 crew onboard the International Space Station. They also had a post-lunar flyby conference with the science team here on the ground to discuss their lunar flyby observations from flight day 6. And then, towards the middle part of the day, they completed a return trajectory correction burn.
08/04/2026 - 05:00:56 (-3 TMZ) | 06:09:25:56 (Artemis Clock) | p.m. Central, 8:03 p.m. Eastern time. Besides that, the crew had mostly an off-duty day during which they were able to do as they pleased and spend some time resting up following a busy first six flight days before they begin preparing for their entry and return.
08/04/2026 - 05:01:22 (-3 TMZ) | 06:09:26:22 (Artemis Clock) | With that, I will also be handing over our live continuous coverage of the Artemis II mission to my colleague Niloufar Ramji, who will continue providing updates of Orion and its crew over the next several hours. But in the meantime, let's go ahead and take a look at the highlights from flight day seven.
08/04/2026 - 05:02:00 (-3 TMZ) | 06:09:27:00 (Artemis Clock) | We did receive some of those stunning downlinked images from the lunar flyby which took place earlier in the cruise day, so let's take a look. Here we have it. The first image we see from behind the Moon, the crew watched Earth set. There's a soft blue arc fading behind a silent, cratered horizon.
08/04/2026 - 05:02:25 (-3 TMZ) | 06:09:27:25 (Artemis Clock) | the moon appears large enough to completely block the sun, creating nearly 54 minutes of totality, far longer than will be experienced from Earth. The sun's corona is forming a glowing halo around the dark lunar disk, revealing the outer atmosphere.
08/04/2026 - 05:02:45 (-3 TMZ) | 06:09:27:45 (Artemis Clock) | That's sunlight reflected from the Earth softly illuminating the nearside. It's a striking view and a rare opportunity to observe and document the corona as we return to deep space.
08/04/2026 - 05:03:10 (-3 TMZ) | 06:09:28:10 (Artemis Clock) | On the 5-day, 17 hours, the crew was woken up aboard their integrity spacecraft, marking the start of Flight Day 7 activities.
08/04/2026 - 05:03:26 (-3 TMZ) | 06:09:28:26 (Artemis Clock) | Good morning and welcome to Artemis Mission Control here at Johnson Space Center in Houston, Texas. I'm Leah Cheshire-Mustacio. The Orbit 1 team has just taken over from the Orbit 2 team and is led by Jeff Rattigan, NASA flight director. The capcom, or capsule communicator, for today is Stan Love. He's a NASA astronaut.
08/04/2026 - 05:03:52 (-3 TMZ) | 06:09:28:52 (Artemis Clock) | The science team will be conducting their post-lunar flyby conference. If you tuned in yesterday, you got a treat and we got to see amazing views of the moon as well as hear the crew's description of them. Now, while the crew was taking those photos, they were also recording private voice notes that they sent down to the science team overnight.
08/04/2026 - 05:04:17 (-3 TMZ) | 06:09:29:17 (Artemis Clock) | We've also got some other exciting activities coming up today, including a ship-to-ship call. The Orion spacecraft and the four Artemis II astronauts, Reid Wiseman, Victor Glover, Christina Koch, and Jeremy Hansen, will be calling the International Space Station. We have seven crew members living and working aboard the International Space Station.
