06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
06/04/2026 - 23:41:34 (-3 TMZ) | 05:04:06:34 (Artemis Clock) | The Orion spacecraft and its crew, that crew including Reid Wiseman, Victor Glover, Christina Koch, and Jeremy Hansen, are currently about 250,000 miles away from the Earth, and that distance is starting to become smaller as they are now on the return leg of their journey, and they are about 9 minutes
06/04/2026 - 23:41:39 (-3 TMZ) | 05:04:06:39 (Artemis Clock) | 1,300 miles away from the moon, they made their close approach to the moon. Integrity Houston with a question about fan feed.
06/04/2026 - 23:41:59 (-3 TMZ) | 05:04:06:59 (Artemis Clock) | Go ahead.
06/04/2026 - 23:42:05 (-3 TMZ) | 05:04:07:05 (Artemis Clock) | Hey Reed, we were wondering if this adjusted fan speed is something that you would like to keep going forward or if it was just a specific change request for the events this evening.
06/04/2026 - 23:42:25 (-3 TMZ) | 05:04:07:25 (Artemis Clock) | This is an ideal fan speed. If you're willing to give us this fan speed for routine habitability, I think we would take it and try it for a while.
06/04/2026 - 23:43:05 (-3 TMZ) | 05:04:08:05 (Artemis Clock) | Support keeping the fan speed in this config. Happy to keep it here to collect data.
06/04/2026 - 23:43:11 (-3 TMZ) | 05:04:08:11 (Artemis Clock) | Okay, you got four happy astronauts up here. We'll take it. Obviously, when we go to exercise, we'll need to pump it up, but I think for quietus of living, this will be great.
06/04/2026 - 23:47:32 (-3 TMZ) | 05:04:12:32 (Artemis Clock) | Houston integrity for docking camera.
06/04/2026 - 23:47:55 (-3 TMZ) | 05:04:12:55 (Artemis Clock) | Just want to make sure we have the configure you're expecting. I have the dual camera bracket is installed, the window shade is closed, and the docking camera is stowed in its Alpha 3 storage area.
06/04/2026 - 23:48:16 (-3 TMZ) | 05:04:13:16 (Artemis Clock) | Thank you.
06/04/2026 - 23:48:21 (-3 TMZ) | 05:04:13:21 (Artemis Clock) | And while I've got you, we are three minutes out from an on-time start of the next event.
06/04/2026 - 23:48:46 (-3 TMZ) | 05:04:13:46 (Artemis Clock) | See a live look of the Artemis II crew inside the Orion spacecraft cabin as they prepare for another public affairs downlink event. There on your screen is CSA astronaut Jeremy Hansen along with NASA astronaut Reid Wiseman and NASA astronaut Victor Glover popping up.
06/04/2026 - 23:49:13 (-3 TMZ) | 05:04:14:13 (Artemis Clock) | The spacecraft and its crew passed approximately 4,000 to 6,000 miles from the moon and provided the astronauts with a full disk view of the lunar surface. And from that higher vantage point, the astronauts were able to observe both poles and large-scale geological features in a single view. Towards the tail end of that observation,
06/04/2026 - 23:49:24 (-3 TMZ) | 05:04:14:24 (Artemis Clock) | period, they also were able to see an eclipse, and that eclipse period lasted about an hour and was when the sun was hidden from view behind the opposite side of the moon from the perspective of Orion.
06/04/2026 - 23:49:49 (-3 TMZ) | 05:04:14:49 (Artemis Clock) | and the science team will take a look at that imagery as it comes down ahead of a post-lunar flyby conference tomorrow with the crew following their sleep period. Now we are standing by for a second public affairs event taking place in about a minute.
06/04/2026 - 23:50:46 (-3 TMZ) | 05:04:15:46 (Artemis Clock) | Integrity, this is Houston. Are you ready for the event?
06/04/2026 - 23:51:05 (-3 TMZ) | 05:04:16:05 (Artemis Clock) | Integrity is ready for the event.
06/04/2026 - 23:51:09 (-3 TMZ) | 05:04:16:09 (Artemis Clock) | Administrator Isaacman, this is Mission Control Houston. Please call Integrity for a voice check. Integrity, Jarhead Isaacman, com check.
06/04/2026 - 23:51:39 (-3 TMZ) | 05:04:16:39 (Artemis Clock) | So we are going to spend the next 20 minutes doing Q&A from a number of questions that have been submitted, and we are going to start with one from me. You all have spent years preparing.
06/04/2026 - 23:51:56 (-3 TMZ) | 05:04:16:56 (Artemis Clock) | for this moment and imagining what it must be like when you look down at the moon, at the lunar surface, what has surprised you all that you did not anticipate?
06/04/2026 - 23:52:22 (-3 TMZ) | 05:04:17:22 (Artemis Clock) | Administrator, great to chat with you. Just something that just shocked me, because...
06/04/2026 - 23:52:27 (-3 TMZ) | 05:04:17:27 (Artemis Clock) | Really using imagery and just the three-dimensionality of it, you know from your experience of seeing the Earth from space, how it just seems different, and you look out and...
06/04/2026 - 23:52:47 (-3 TMZ) | 05:04:17:47 (Artemis Clock) | here on the far side of the moon looking back at Earth. It's just so obvious you had this sphere out in front of you of the moon in this three-dimensional.
06/04/2026 - 23:53:13 (-3 TMZ) | 05:04:18:13 (Artemis Clock) | Integrity. Jared, anyone else want to answer that one?
06/04/2026 - 23:53:32 (-3 TMZ) | 05:04:18:32 (Artemis Clock) | You know, we had an amazing launch. The SLS is quite a powerful rocket and...
06/04/2026 - 23:53:38 (-3 TMZ) | 05:04:18:38 (Artemis Clock) | Got us into a 1,200 by, you know, eventually a 100-mile orbit and clearly powered speed, and then we did our translunar injection and we were going quite fast. And so with all of that speed, though, it still took us days to get here. And so the scope of all of the things to a 321-foot.
06/04/2026 - 23:54:04 (-3 TMZ) | 05:04:19:04 (Artemis Clock) | Dave, the hope and the breadth of the distance we had to cover, watching the distance from Earth count up and the distance from the moon count down was one of the most surprising things I've enjoyed.
06/04/2026 - 23:54:34 (-3 TMZ) | 05:04:19:34 (Artemis Clock) | Narrow it down, but I'm gonna go with something we did yesterday, a manual pack, a flight test objective, where we just basically got to sit at the vehicle. It was Jeremy and I this time, and just drive, drive around using the rotational hand controller, basically just drive it with the stick.
06/04/2026 - 23:55:00 (-3 TMZ) | 05:04:20:00 (Artemis Clock) | Watching it respond when we actually degraded it on purpose by going into three degrees of freedom control by actually inhibiting some of the jets, which, even though we have jet redundancy, of course, for each other in these complicated algorithms. So it was just amazing to be in a deep space spacecraft and just be flying it around by hand.
06/04/2026 - 23:55:20 (-3 TMZ) | 05:04:20:20 (Artemis Clock) | This is, I can't believe that something this cramped of quarters can fly by and still be fun every single minute.
06/04/2026 - 23:55:46 (-3 TMZ) | 05:04:20:46 (Artemis Clock) | Apogee numbers, and on the International Space Station we're 250 nautical miles up, and that's the most beautiful view, I think, a human could ever experience. And we are dealing with numbers that are 250,000 miles, and every time Mission Control points to this vehicle, either at the moon or at Earth...
06/04/2026 - 23:56:21 (-3 TMZ) | 05:04:21:21 (Artemis Clock) | We are, and NASA is doing this, an international team is doing this, and they're doing it very well.
06/04/2026 - 23:56:46 (-3 TMZ) | 05:04:21:46 (Artemis Clock) | And then certainly manual control, well, every Dragon crew for the last five years is very jealous on that. Okay, so we're going to questions here. This one, you, the Artemis II crew, inspire all of us, but what
06/04/2026 - 23:56:51 (-3 TMZ) | 05:04:21:51 (Artemis Clock) | inspires you.
06/04/2026 - 23:57:12 (-3 TMZ) | 05:04:22:12 (Artemis Clock) | I think as you get older, your answer to that question changes a lot. Certainly when I was a young boy and a young man, just...
06/04/2026 - 23:57:38 (-3 TMZ) | 05:04:22:38 (Artemis Clock) | You can watch that unfold. And now, now that I'm just a little bit over 50, you'll be there soon. Now that I'm just a little bit over 50, I mean, it all ties back to just family and you understand just how much you, the people that you surround yourself with, and that is really every night when you go to bed.
06/04/2026 - 23:57:41 (-3 TMZ) | 05:04:22:41 (Artemis Clock) | But that's really what you end up thinking, at least that's what I end up thinking.
06/04/2026 - 23:57:49 (-3 TMZ) | 05:04:22:49 (Artemis Clock) | Thank you. All right, so...
06/04/2026 - 23:58:00 (-3 TMZ) | 05:04:23:00 (Artemis Clock) | Here's a question, it's a good one. So for the Artemis III crew, what is the advice you would pass along for the next astronauts that will go in Orion?
06/04/2026 - 23:58:31 (-3 TMZ) | 05:04:23:31 (Artemis Clock) | That's a great question, Jared. We've actually been thinking about the Artemis III crew since we were assigned as the Artemis II crew. It was the beginning of how we came up with how we wanted to fly this mission, how we wanted to buy down risk for the program, and values as a crew.
06/04/2026 - 23:58:37 (-3 TMZ) | 05:04:23:37 (Artemis Clock) | And so, you know, over the course of these three years, we've taken a lot of notes. So we've almost got a book to hand them. But I think a few practical things, you know, just sitting here.
06/04/2026 - 23:58:54 (-3 TMZ) | 05:04:23:54 (Artemis Clock) | that we've been living for the past six days, how you pack is a huge impact to how you will live on the journey. And so things like food and your hygiene products, and then, you know, you know what's going on with our waste management system, the technology that we have.
06/04/2026 - 23:59:14 (-3 TMZ) | 05:04:24:14 (Artemis Clock) | But I'll be honest, I wasn't really prepared to have to use it for over half the mission, but you know, we adapt and overcome, and so I can't wait to talk to that crew.
06/04/2026 - 23:59:40 (-3 TMZ) | 05:04:24:40 (Artemis Clock) | Merriam-Webster, that's a wordy one here. So you are going to be, well, you've already surpassed more than 250,000 miles from Earth, farther than any human has gone before. So what are some words that come to mind when you try to wrap your mind around this very unique experience?
07/04/2026 - 00:00:25 (-3 TMZ) | 05:04:25:25 (Artemis Clock) | civil rights movement leaders, everyone who worked on this spacecraft. Before we got here in our three years of training, we went all over the country and even to our European and Canadian partners to see the people who have put their hands on this hardware, the millions of parts from every...
07/04/2026 - 00:00:45 (-3 TMZ) | 05:04:25:45 (Artemis Clock) | break it up in the VAB, there is, they all passed the record. We definitely didn't pass the record up here alone.
07/04/2026 - 00:01:05 (-3 TMZ) | 05:04:26:05 (Artemis Clock) | on your journey, when you were out of contact with everyone here on Earth, what were some of the thoughts that tended to occupy your mind most?
07/04/2026 - 00:01:30 (-3 TMZ) | 05:04:26:30 (Artemis Clock) | Yeah, as Victor said earlier, when we were on the far side of the moon and out of contact with planet Earth, we all knew it, and it was a milestone. We saw Earth disappear, the Earth set, but we were so busy with the science, and we have such faith in our vehicle.
07/04/2026 - 00:01:55 (-3 TMZ) | 05:04:26:55 (Artemis Clock) | And just trying to do a good job to collect as much science data as we could while we were on the far side of the moon. And we were just giddy in here, like, of our lives. He's being a bit humble, but as soon as we went out of comm with planet Earth, we did have maple cookies as we just agreed.
07/04/2026 - 00:02:16 (-3 TMZ) | 05:04:27:16 (Artemis Clock) | To honor that time going behind Earth, and it was a very, I'm sorry, going behind the moon and out of touch with Earth, and that was a very surreal moment for this crew.
07/04/2026 - 00:02:36 (-3 TMZ) | 05:04:27:36 (Artemis Clock) | How has this journey already changed the way you see our home planet and humanity's future among the stars?
07/04/2026 - 00:03:06 (-3 TMZ) | 05:04:28:06 (Artemis Clock) | I just, you know, I...
07/04/2026 - 00:03:08 (-3 TMZ) | 05:04:28:08 (Artemis Clock) | I think that there's...
07/04/2026 - 00:03:12 (-3 TMZ) | 05:04:28:12 (Artemis Clock) | You know, but I think real impact is local, and I, to see the earth as an entire thing and look at it, this system, and to see it all at once, but I'm like...
07/04/2026 - 00:03:18 (-3 TMZ) | 05:04:28:18 (Artemis Clock) | my daughters and just the, you know, the things that we can impact directly, the people that I can touch, that I can speak to, hug, and show love and gratitude toward.
07/04/2026 - 00:03:49 (-3 TMZ) | 05:04:28:49 (Artemis Clock) | Talked about the future that we're going to have in the stars, and, you know, this mission, I think, we swung for the fence and launched on our first try after learning a lot earlier this year, but I think it set the stage for us to go out and continue to swing for the fence hard in our Orion SLS and
07/04/2026 - 00:03:54 (-3 TMZ) | 05:04:28:54 (Artemis Clock) | Ground Systems Programs to go and get the next one teed up so that that crew can knock it out of the park. And so I have huge expectations for what's coming next.
07/04/2026 - 00:04:14 (-3 TMZ) | 05:04:29:14 (Artemis Clock) | for Earth.
07/04/2026 - 00:04:40 (-3 TMZ) | 05:04:29:40 (Artemis Clock) | in three years, I let my mind get past the moon and back towards home, and I had to catch myself right there. You're an operator just like we are, and you know that is the place to be when you're up here. We got to look one step ahead. What's next? What's our next burn? How are we setting up our trajectory to get home? And we are going to do that. We are locked in.
07/04/2026 - 00:05:11 (-3 TMZ) | 05:04:30:11 (Artemis Clock) | every second until we are back on that Navy ship and then home reunited with our families. And copy that. Astronauts like being in space. That checks out. OK, there's a lot of questions from the space photography community.
07/04/2026 - 00:05:16 (-3 TMZ) | 05:04:30:16 (Artemis Clock) | How are the pictures going so far?
07/04/2026 - 00:05:42 (-3 TMZ) | 05:04:30:42 (Artemis Clock) | We all love getting our hands on cameras and our eyes behind the lens here because we're just trying to share the incredible things that we're seeing, and that's obviously the best way we can try to do that. I've been into night sky photography for a long time, and so this is really a dream come true.
07/04/2026 - 00:06:09 (-3 TMZ) | 05:04:31:09 (Artemis Clock) | The lights below and the auroras and the spinning stars around the North Star, there's a lot going on. But what we got...
07/04/2026 - 00:06:19 (-3 TMZ) | 05:04:31:19 (Artemis Clock) | The black matter is out of this world. When we viewed that eclipse, that was the one time we all said, we literally cannot capture this with a camera. Everything else, I think we've been able to, we've really put our hearts and minds into making sure we understand.
07/04/2026 - 00:06:45 (-3 TMZ) | 05:04:31:45 (Artemis Clock) | Dig deep in my book for that one. And thanks for the iPhones, they've been working great.
07/04/2026 - 00:07:11 (-3 TMZ) | 05:04:32:11 (Artemis Clock) | Okay, well, I want to thank you all, Integrity, so Reed, Victor, Christina, Jeremy, on behalf of NASA and space-loving people across the world, thank you for taking us with you to the moon.
07/04/2026 - 00:07:36 (-3 TMZ) | 05:04:32:36 (Artemis Clock) | Beautiful words that we've heard. You represent the absolute best of us. We are proud of you, and we look forward to welcoming you back safely to the good Earth very soon. Godspeed and go Artemis 2.
07/04/2026 - 00:07:57 (-3 TMZ) | 05:04:32:57 (Artemis Clock) | And we are supported by a huge world of humans, and we are just honored to be a part of that. Thank you.
07/04/2026 - 00:07:59 (-3 TMZ) | 05:04:32:59 (Artemis Clock) | We'll see you soon.
07/04/2026 - 00:08:03 (-3 TMZ) | 05:04:33:03 (Artemis Clock) | Integrity, this is Houston ACR. That concludes the event. Thank you.
07/04/2026 - 00:08:05 (-3 TMZ) | 05:04:33:05 (Artemis Clock) | Thank you to all participants. Integrity, we are now resuming operational audio comm.
07/04/2026 - 00:09:39 (-3 TMZ) | 05:04:34:39 (Artemis Clock) | live view from the Orion spacecraft, specifically from the camera on its solar array wings, and you can see a crescent Earth there. The crew is now officially on the return leg of their journey, and Earth is now their target, with that splashdown targeted for April 10th.
07/04/2026 - 00:11:15 (-3 TMZ) | 05:04:36:15 (Artemis Clock) | As the lunar flyby coverage is coming to a close, you can see a final look there of the Orion spacecraft and that crescent moon in the distance. The Artemis II crew inside the Orion spacecraft named Integrity lifted off atop the Space Launch System rocket.
07/04/2026 - 00:11:46 (-3 TMZ) | 05:04:36:46 (Artemis Clock) | translunar injection burn which committed Orion to departing high Earth orbit and set us up for today's flyby. TLI also served as the spacecraft's deorbit burn as it slingshot Orion around the moon and set the crew on its free return trajectory with that splashdown slated for Friday, April 10th. Last night, on flight day five, the crew entered
07/04/2026 - 00:12:12 (-3 TMZ) | 05:04:37:12 (Artemis Clock) | will remain in this lunar sphere of influence until about 12:25 p.m. Central, 1:25 p.m. Eastern on April 7th. Today the crew spent the majority of their day making science observations and capturing imagery as part of the lunar flyby, during which Orion and its crew passed approximately 4,000 to 6,000 miles
07/04/2026 - 00:12:52 (-3 TMZ) | 05:04:37:52 (Artemis Clock) | during their mission at a distance of 252,756 miles away from Earth. Integrity, Houston, with two updates.
07/04/2026 - 00:13:26 (-3 TMZ) | 05:04:38:26 (Artemis Clock) | The first is that, based on ground schedules, we'd like to pull your flight director conference up before your PMC, so we'll start the flight director conference at the time the PMC is currently scheduled.
07/04/2026 - 00:13:51 (-3 TMZ) | 05:04:38:51 (Artemis Clock) | And the second item is just following up on the DU-1 caution. We believe this is a recurrence of what we saw with CU-2 earlier in the mission. It's back up and it's ready for you to reconfigure displays as you wish, and I see you have that in work.
07/04/2026 - 00:14:12 (-3 TMZ) | 05:04:39:12 (Artemis Clock) | Okay, great. We would love a main and secondary dump line status report, really the main line.
07/04/2026 - 00:14:51 (-3 TMZ) | 05:04:39:51 (Artemis Clock) | but the secondary is still configured and go for use.
07/04/2026 - 00:14:53 (-3 TMZ) | 05:04:39:53 (Artemis Clock) | Okay, that was good. Thank you.
07/04/2026 - 00:15:16 (-3 TMZ) | 05:04:40:16 (Artemis Clock) | Advisement and the capsule communicator here in Mission Control discussing some of the final activities on their timeline for the day before they head into pre-sleep and get ready to close out flight day six. So during the flyby period, the Artemis crew and in its Orion spacecraft reached
07/04/2026 - 00:15:42 (-3 TMZ) | 05:04:40:42 (Artemis Clock) | 1,112 miles farther than Apollo 13, and a couple minutes prior to that farthest distance milestone, Orion also made its closest approach to the moon at a distance of 4,067 miles. And at the end of the lunar flyby period, the crew was also able to see an eclipse with the sun hidden from view behind the Earth.
07/04/2026 - 00:15:58 (-3 TMZ) | 05:04:40:58 (Artemis Clock) | opposite side of the moon from the perspective of Orion, and during this time the crew saw a mostly dark moon, and the crew also used the opportunity to analyze the solar corona, which is the sun's outermost atmosphere. And once the sun was completely out of view behind the moon, the crew observed impact flashes, which are flashes of light from meteoroids striking the surface.
07/04/2026 - 00:16:25 (-3 TMZ) | 05:04:41:25 (Artemis Clock) | Handheld photography and images from the Orion spacecraft will form the basis for scientific investigations into the Moon's geologic history, the lunar environment, and current processes such as new impacts. At this point in the Artemis II mission, the crew and the teams on the ground have begun or completed 23 of the 27 high-priority
07/04/2026 - 00:16:56 (-3 TMZ) | 05:04:41:56 (Artemis Clock) | has concluded along with the public affairs events that followed with President Donald Trump and NASA Administrator Jared Isaacman. We are going to wrap our broadcast coverage on NASA plus. Thank you to everyone who tuned into our coverage on NASA plus as well as through our streaming partners on Peacock, Netflix, Amazon Prime, and HBO Max.
07/04/2026 - 00:17:16 (-3 TMZ) | 05:04:42:16 (Artemis Clock) | NASA's YouTube page so you can continue to follow our Artemis II crew on their return journey back to Earth. This is Mission Control Houston.
07/04/2026 - 00:25:51 (-3 TMZ) | 05:04:50:51 (Artemis Clock) | Houston integrity, we have a science question.
07/04/2026 - 00:25:53 (-3 TMZ) | 05:04:50:53 (Artemis Clock) | We are ready to copy.
07/04/2026 - 00:26:17 (-3 TMZ) | 05:04:51:17 (Artemis Clock) | Before we go to bed, because we think we made some changes, but the procedures were not updated as expected. We no longer have to transfer any of the audio recordings on our PCDs or any notes we made in OneNote, that you will just go in.
07/04/2026 - 00:26:38 (-3 TMZ) | 05:04:51:38 (Artemis Clock) | That is a good recollection, Jeremy, that is correct.
07/04/2026 - 00:26:48 (-3 TMZ) | 05:04:51:48 (Artemis Clock) | Okay, so we are transferring photos into four Science folders on all three PCDs. And if you go into those four Science folders, you'll get all of the imagery that we took today. And just a heads-up, we get so much excitement up here, sometimes we switch...
07/04/2026 - 00:27:08 (-3 TMZ) | 05:04:52:08 (Artemis Clock) | These places, but all the photos are there.
07/04/2026 - 00:27:10 (-3 TMZ) | 05:04:52:10 (Artemis Clock) | Copy all, thanks for the report.
07/04/2026 - 00:28:00 (-3 TMZ) | 05:04:53:00 (Artemis Clock) | Call down from the crew onboard the Orion spacecraft, and you can see a live view of the exterior of that Orion spacecraft there on your screen. They are working to downlink some of the imagery that they captured throughout the lunar flyby today, and here shortly they are also
07/04/2026 - 00:28:20 (-3 TMZ) | 05:04:53:20 (Artemis Clock) | teams here on the ground, as well as a private conference with the flight director here on the ground to go through vehicle status and any questions, comments, concerns they may have ahead of the next flight day.
07/04/2026 - 00:28:41 (-3 TMZ) | 05:04:53:41 (Artemis Clock) | to decompress for the day. They can also complete any necessary personal activities and hygiene activities, and it's also when they have an opportunity to eat their dinner.
07/04/2026 - 00:29:05 (-3 TMZ) | 05:04:54:05 (Artemis Clock) | here in Houston, Texas. That team works closely with every human spaceflight crew both on the Artemis missions as well as missions to the International Space Station ahead of launch to taste their food and go through their standard menus and what they will expect as well as some training on how to use the food.
07/04/2026 - 00:29:26 (-3 TMZ) | 05:04:54:26 (Artemis Clock) | Dinner tonight includes chicken with corn and black beans, sweet and sour pork, rice pilaf, spicy green beans, citrus fruit salad, maple cream cookies.
07/04/2026 - 00:29:46 (-3 TMZ) | 05:04:54:46 (Artemis Clock) | mashed potatoes, cauliflower with cheese and butter cookies.
07/04/2026 - 00:31:48 (-3 TMZ) | 05:04:56:48 (Artemis Clock) | Integrity Houston OE2 is configured for your conference with Mr. Rattigan.
07/04/2026 - 00:39:50 (-3 TMZ) | 05:05:04:50 (Artemis Clock) | They each have cameras mounted to them that provide these live views, and in the distance, you can see a crescent Earth. That, of course, is now the destination for the Orion spacecraft and its crew now that we are on the return journey leg of the mission following today's lunar...
07/04/2026 - 00:40:15 (-3 TMZ) | 05:05:05:15 (Artemis Clock) | off the coast of California on Friday, April 10th. That splashdown will take place in about three days, 20 hours, and 13 minutes. The crew is wrapping up their sixth flight day. They are currently in a privatized conference with the flight director here in Mission Control. They typically have a
07/04/2026 - 00:40:41 (-3 TMZ) | 05:05:05:41 (Artemis Clock) | with their medical teams here on the ground, and then they will head into their pre-sleep period. And that will wrap up their sixth flight day as part of the Artemis II mission. Going into the seventh flight day, they will have quite a bit of time off duty.
07/04/2026 - 00:41:00 (-3 TMZ) | 05:05:06:00 (Artemis Clock) | They will complete a post-lunar flyby conference. During this time, they will have the opportunity to discuss their lunar flyby observations with the science team on the ground while some of that is still fresh and top of mind. And then a little bit later in the day, there is the opportunity for a
07/04/2026 - 00:41:25 (-3 TMZ) | 05:05:06:25 (Artemis Clock) | short thruster firing to allow the Orion spacecraft to fine-tune its trajectory on the return leg. And then in the second half of the day, they will work on a radiation sheltering demonstration.
07/04/2026 - 00:41:51 (-3 TMZ) | 05:05:06:51 (Artemis Clock) | In that radiation sheltered demonstration, the crew will build a radiation shelter within the cabin of the Orion spacecraft and prepare lockers for radiation shelter ingress or entering into them. On missions to the moon through the Artemis program, astronauts venture beyond Earth's protective magnetic field.
07/04/2026 - 00:42:16 (-3 TMZ) | 05:05:07:16 (Artemis Clock) | NASA has radiation dosage level thresholds that they look for inside Orion. The first threshold signals a caution, prompting closer monitoring and coordination with the medical and flight operations team. And then a higher threshold triggers a recommendation for the crew to take shelter. Radiation shielding is
07/04/2026 - 00:42:42 (-3 TMZ) | 05:05:07:42 (Artemis Clock) | are trained to reconfigure their cabin during a solar particle event, removing stowed equipment from storage bays and securing it along areas of the cabin to add mass between themselves and incoming particles. Since Artemis II is the first crewed Artemis mission, testing this procedure in the Orion spacecraft is a major objective.
07/04/2026 - 00:55:20 (-3 TMZ) | 05:05:20:20 (Artemis Clock) | Currently five days, five hours, and 19 minutes into the Artemis II mission and counting. Currently on your screen, you can see a live view from the Orion spacecraft named Integrity by its crew. You can see a clear view of one of the solar array wings. There are four solar array wings, or SAWs.
07/04/2026 - 00:55:39 (-3 TMZ) | 05:05:20:39 (Artemis Clock) | Crescent Earth.
07/04/2026 - 00:56:05 (-3 TMZ) | 05:05:21:05 (Artemis Clock) | had their lunar flyby and made their closest approach to the moon earlier today. And the distance from Earth is about 249,000 miles. We are expecting a splashdown on Friday, April 10th, on flight day 10.
07/04/2026 - 00:56:16 (-3 TMZ) | 05:05:21:16 (Artemis Clock) | down in the Pacific Ocean off the coast of California in about three days, 19 hours, and 57 minutes from now.
07/04/2026 - 00:56:41 (-3 TMZ) | 05:05:21:41 (Artemis Clock) | Pre-sleep period will last about two and a half hours, after which they will go to sleep. They typically have an eight and a half hour sleep period, and then they will begin flight day seven. The majority of flight day seven will be an off-duty day for the crew, but they do
07/04/2026 - 00:57:12 (-3 TMZ) | 05:05:22:12 (Artemis Clock) | Ground to discuss some of their lunar flyby observations as part of the data collection to allow the crew to talk through what they experienced and what they saw while it's still top of mind and fresh following today's lunar flyby observation period. Again, that lunar flyby lasted about seven hours and toward.
07/04/2026 - 00:57:38 (-3 TMZ) | 05:05:22:38 (Artemis Clock) | Conference, the crew will have a little bit of a break, they will be able to exercise, have their midday meal, and then there is the opportunity for a return trajectory correction one burn, should it be needed. These return trajectory
07/04/2026 - 00:58:09 (-3 TMZ) | 05:05:23:09 (Artemis Clock) | hands lunar injection burn, or TLI burn, which took place on flight day two. The third and final of those outbound trajectory correction burns did take place on flight day five, and it ended up being a 17 and a half second burn to fine tune Orion's trajectory as it
07/04/2026 - 00:58:34 (-3 TMZ) | 05:05:23:34 (Artemis Clock) | They will complete a radiation shelter demonstration.
07/04/2026 - 01:18:26 (-3 TMZ) | 05:05:43:26 (Artemis Clock) | The crew is currently in their pre-sleep period. During this period, they have the opportunity to eat dinner and also perform any necessary hygiene activities and other personal activities ahead of going to sleep. We do expect the crew to enter their sleep period in a little under two hours, about an hour and 45 minutes from now.
07/04/2026 - 01:19:06 (-3 TMZ) | 05:05:44:06 (Artemis Clock) | as well as its distance from the Earth and the moon as it makes its journey back home here to Earth, again with that splashdown targeted for Friday, April 10th.
07/04/2026 - 01:19:26 (-3 TMZ) | 05:05:44:26 (Artemis Clock) | as well as the imagery and data that they captured and collected and began downlinking that, and we do expect to have some of that imagery available here shortly.
07/04/2026 - 01:19:53 (-3 TMZ) | 05:05:44:53 (Artemis Clock) | descriptions and written annotations to be able to provide scientists with multiple layers of context for each observation. The handheld imagery was captured using Nikon cameras, including an 80 to 400 millimeter zoom lens dedicated to lunar targeting. And those images were designed to capture
07/04/2026 - 01:20:23 (-3 TMZ) | 05:05:45:23 (Artemis Clock) | application on their crew tablets, which are sometimes referred to as PCDs or Portable Computing Devices. Through those verbal descriptions, they were describing what they were seeing, how the features related spatially, and how conditions were changing as the lighting evolved.
07/04/2026 - 01:20:34 (-3 TMZ) | 05:05:45:34 (Artemis Clock) | And then the crew annotations were recorded in OneNote.
07/04/2026 - 01:20:40 (-3 TMZ) | 05:05:45:40 (Artemis Clock) | In work, thanks.
07/04/2026 - 01:21:20 (-3 TMZ) | 05:05:46:20 (Artemis Clock) | And Houston Integrity, the accurate graph data is on PCD2.
07/04/2026 - 01:21:23 (-3 TMZ) | 05:05:46:23 (Artemis Clock) | We copy.
07/04/2026 - 01:22:01 (-3 TMZ) | 05:05:47:01 (Artemis Clock) | Houston Integrity on one for imagery for now link folders.
07/04/2026 - 01:22:06 (-3 TMZ) | 05:05:47:06 (Artemis Clock) | Go ahead.
07/04/2026 - 01:22:32 (-3 TMZ) | 05:05:47:32 (Artemis Clock) | I have two imagery for downlink folders, and I have been using both of them today. One is on the C drive, and one is in C users CDR desktop imagery for downlink. So when they're downlinking from PC1, please have them check.
07/04/2026 - 01:22:57 (-3 TMZ) | 05:05:47:57 (Artemis Clock) | Please check both the C drive imagery for downlink and then my login imagery for downlink on PC1. I would appreciate it.
07/04/2026 - 01:23:00 (-3 TMZ) | 05:05:48:00 (Artemis Clock) | We copy.
07/04/2026 - 01:23:23 (-3 TMZ) | 05:05:48:23 (Artemis Clock) | some of that first communication was coming from NASA astronaut Victor Glover who is wrapping up a crew preference conference. These are private conferences often between the crew and their family and friends on the ground.
07/04/2026 - 01:23:42 (-3 TMZ) | 05:05:48:42 (Artemis Clock) | who is asking some questions and letting them know about some images and data that were being downlinked from the Orion spacecraft following the lunar flyby earlier today.
07/04/2026 - 01:24:13 (-3 TMZ) | 05:05:49:13 (Artemis Clock) | supplemented the crew's observations by providing high-resolution still imagery and lower-resolution video before, during and after the flyby from perspectives unavailable inside the Orion spacecraft itself.
07/04/2026 - 01:24:43 (-3 TMZ) | 05:05:49:43 (Artemis Clock) | Expeditions that took place in analog environments, such as the Icelandic highlands, where crews practiced identifying and describing geologic features under varying conditions. And then Orion mockups were also used to rehearse crew choreography, including three-dimensional spacewalks.
07/04/2026 - 01:24:49 (-3 TMZ) | 05:05:49:49 (Artemis Clock) | management with an inflatable moon globe to simulate the flyby.
07/04/2026 - 01:31:11 (-3 TMZ) | 05:05:56:11 (Artemis Clock) | Houston integrity on one for the overboard dump.
07/04/2026 - 01:31:17 (-3 TMZ) | 05:05:56:17 (Artemis Clock) | Does anyone want to go ahead?
07/04/2026 - 01:31:37 (-3 TMZ) | 05:05:56:37 (Artemis Clock) | We would like to use non-urine toilet, and then we'll call you when we're complete.
07/04/2026 - 01:31:56 (-3 TMZ) | 05:05:56:56 (Artemis Clock) | Gotcha, if you're okay with a little bit more interruption to your pre-sleep.
